Timestamp,Level,Caller,Function,LineNumber,Message
2026-06-26 10:27:22.613,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.627,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.633,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.646,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.652,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.693,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.700,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.714,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.720,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.736,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.744,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.784,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:22.790,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:22.797,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Recommended for Client
2026-06-26 10:27:22.807,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 21 rules for Client
2026-06-26 10:27:22.836,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Recommended for Client
2026-06-26 10:27:22.842,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 21 rules for Client
2026-06-26 10:27:22.847,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Strict for Client
2026-06-26 10:27:22.857,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 14 rules for Client
2026-06-26 10:27:22.886,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Recommended, Target=Client, OSVersion=11"
